,from,to,a,b,운동이름
0,0-0 , 6-15,0.39968737849302316,0.3359679435329351,눈깜빡감기
1,0-1 , 6-13,0.4040315982794994,0.3302059570019697,눈깜빡감기
2,0-2 , 6-11,0.37409188729066667,0.3076233391541538,눈깜빡감기
3,0-3 , 6-10,0.3326972003695466,0.2740806845454884,눈깜빡감기
4,0-4 , 6-8,0.25193892623553105,0.2142315752698194,눈깜빡감기
5,0-31 , 5-15,0.2206944775207863,0.1721066042829862,눈깜빡감기
6,0-32 , 5-13,0.2980837219432042,0.24031554177665027,눈깜빡감기
7,0-33 , 5-11,0.35857972169155994,0.29181631367145033,눈깜빡감기
8,0-34 , 5-10,0.3731298286802357,0.3029674572672669,눈깜빡감기
9,0-35 , 5-8,0.3783661391831693,0.3121254576397402,눈깜빡감기
10,10-0 , 11-0,0.41716034285006165,0.5271078897268457,아랫입술내리기
11,10-2 , 11-0,0.4254810452126508,0.5844450636321288,아랫입술내리기
12,10-8 , 11-0,0.4045329570616941,0.5248740149268651,아랫입술내리기
13,10-6 , 11-0,0.4173215258165851,0.5864520681784697,아랫입술내리기
14,10-2 , 12-0,0.23894760006476184,0.3622619063398323,아랫입술내리기
15,10-6 , 12-2,0.22672899105876607,0.3542186963589054,아랫입술내리기
16,3-0 , 6-6,0.15268787951886473,0.11882920605756014,눈썹올리기
17,1-0 , 5-2,0.15199477534561806,0.11738236855468838,눈썹올리기
18,4-0 , 6-6,0.12684070409278328,0.09428841987460056,눈썹올리기
19,2-0 , 5-2,0.12318205179574708,0.09487381399904996,눈썹올리기
20,3-0 , 6-5,0.16306105724506553,0.12487925046189487,눈썹올리기
21,1-0 , 5-0,0.1463315716538017,0.11816616150539627,눈썹올리기
22,3-1 , 6-4,0.19248004511608527,0.15121911573097843,눈썹올리기
23,3-2 , 6-6,0.19080483600428313,0.15164835054493353,눈썹올리기
24,3-3 , 6-3,0.1772438039014292,0.13770491803278687,눈썹올리기
25,3-4 , 6-0,0.19417504892162546,0.15753697351064233,눈썹올리기
26,1-1 , 5-4,0.19109765223541705,0.14967880978219592,눈썹올리기
27,1-2 , 5-2,0.18696218456708927,0.15164721643281495,눈썹올리기
28,1-3 , 5-5,0.17586376467865866,0.13582905336404708,눈썹올리기
29,1-4 , 5-8,0.19642070602105938,0.15825128989335616,눈썹올리기
30,9-5 , 12-0,0.14185385001398892,0.24093938586578031,입술끝올리기
31,9-3 , 12-2,0.13086543656635166,0.23879299555590508,입술끝올리기
32,10-2 , 12-0,0.23894760006476184,0.3585221714279681,입술끝올리기
33,10-6 , 12-2,0.22672899105876607,0.3510606357983593,입술끝올리기
34,7-4 , 12-2,0.15128187169778973,0.20344049539138334,입술끝올리기
35,7-6 , 12-0,0.15277657706769104,0.20360554110127463,입술끝올리기
36,3-2 , 6-1,0.2507287453031808,0.18272266954184152,눈썹모으기
37,1-2 , 5-7,0.244230850994756,0.18524852658405275,눈썹모으기
38,2-3 , 5-10,0.18556685221434716,0.12313700456601628,눈썹모으기
39,4-3 , 6-14,0.18693458869200713,0.11848401385191816,눈썹모으기
40,3-4 , 5-9,0.31358934609122896,0.2361550989693654,눈썹모으기
41,1-4 , 6-15,0.2993088773872556,0.24860557863372784,눈썹모으기
42,3-4 , 5-10,0.33282680290472,0.25082703439508264,눈썹모으기
